epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,161.504,1.17831,2.3345,0.01629,0.81857,0.65451,0.86363,0.64693,1.63095,1.25007,0.01125,1.11965e-05,1.11965e-05,1.11965e-05
40,162.874,0.89294,1.7093,0.00981,0.81857,0.65451,0.86363,0.64693,1.63095,1.25007,0.01125,1.05722e-05,1.05722e-05,1.05722e-05
41,164.173,0.98777,1.35865,0.01729,0.82595,0.65238,0.85167,0.65666,1.63556,1.24477,0.01137,9.9008e-06,9.9008e-06,9.9008e-06
42,165.53,0.83944,0.98625,0.00781,0.82595,0.65238,0.85167,0.65666,1.63556,1.24477,0.01137,9.18228e-06,9.18228e-06,9.18228e-06
43,166.825,0.86633,0.84181,0.00954,0.73149,0.68813,0.81039,0.64132,1.58711,1.26037,0.01105,8.41663e-06,8.41663e-06,8.41663e-06
44,168.217,1.1289,1.34305,0.01738,0.73149,0.68813,0.81039,0.64132,1.58711,1.26037,0.01105,7.60386e-06,7.60386e-06,7.60386e-06
45,169.631,0.8822,1.07344,0.01778,0.83571,0.65304,0.85158,0.6646,1.57861,1.2497,0.01092,6.74397e-06,6.74397e-06,6.74397e-06
46,170.973,0.76697,1.4933,0.01272,0.83571,0.65304,0.85158,0.6646,1.57861,1.2497,0.01092,5.83695e-06,5.83695e-06,5.83695e-06
47,172.47,0.75422,0.9221,0.00905,0.75892,0.66186,0.85154,0.66447,1.57419,1.25925,0.01081,4.88281e-06,4.88281e-06,4.88281e-06
48,173.786,0.82921,0.79694,0.00691,0.75892,0.66186,0.85154,0.66447,1.57419,1.25925,0.01081,3.88154e-06,3.88154e-06,3.88154e-06
49,175.226,1.14095,1.74208,0.01133,0.695,0.67618,0.80068,0.62837,1.63633,1.22554,0.01091,2.83315e-06,2.83315e-06,2.83315e-06
50,176.443,0.95101,1.19142,0.01094,0.695,0.67618,0.80068,0.62837,1.63633,1.22554,0.01091,1.73764e-06,1.73764e-06,1.73764e-06
